,,,,Status:,Updated 10/20,,Denotes Piazza,Update all fields in Blue each week,We expect 50% of Single Sales 1 Week Prior,85%+ occupancy,,,,,,,,,,,100%+ of Target,,, ,,,,,,,,,,,,,,,
22,14,1/26/2026,26 CS06 Beethoven+,,,1/31/2026,Classical,85%,44%,  692 ," $ 45,478 "," $ 75,000 "," $ (29,522)",Too early, Too early , Too early , Too early ,  94 ,  992 ,  843 , Too early ,#VALUE!,Too early," $ 5,569 "," $ 20,000 ",28%,Too early,  598 ," $ 39,909 "," $ 55,000 ",73%,"  1,590 ", $ 59 ,,,,"$45,500.90 ",-$23.00,
22,14,1/26/2026,26 CS06 Beethoven+,,,2/1/2026,Classical,85%,43%,  681 ," $ 43,667 "," $ 75,000 "," $ (31,333)",Too early, Too early , Too early , Too early ,  72 ,  981 ,  834 , Too early ,#VALUE!,Too early," $ 4,644 "," $ 20,000 ",23%,Too early,  609 ," $ 39,023 "," $ 55,000 ",71%,"  1,590 ", $ 65 ,,,,"$43,394.20 ",$273.00,
23,15,2/2/2026,26 On-Stage 2 Leila Josefowicz,,,2/5/2026,On Stage,85%,19%,  19 ," $ 1,960 "," $ 9,000 "," $ (7,040)",Too early, Too early , Too early , Too early ,  19 ,  100 ,  85 , Too early ,#VALUE!,Too early," $ 1,960 "," $ 9,000 ",22%,Too early,,,,,  100 , $ 103 ,,,,"$1,960.00 ",$0.00,
23,15,2/2/2026,26 CS07 Prokofiev's Fifth Symphony,,,2/6/2026,Classical,85%,39%,  624 ," $ 40,003 "," $ 46,666 "," $ (6,663)",Too early, Too early , Too early , Too early ,  62 ,"  1,028 ",  874 , Too early ,#VALUE!,Too early," $ 2,540 "," $ 13,333 ",19%,Too early,  562 ," $ 37,463 "," $ 33,333 ",112%,"  1,590 ", $ 41 ,,,,"$39,823.00 ",$180.00,
23,15,2/2/2026,27 CS07 Prokofiev's Fifth Symphony,,,2/7/2026,Classical,85%,38%,  608 ," $ 38,795 "," $ 46,666 "," $ (7,871)",Too early, Too early , Too early , Too early ,  49 ,"  1,031 ",  876 , Too early ,#VALUE!,Too early," $ 2,478 "," $ 13,333 ",19%,Too early,  559 ," $ 36,317 "," $ 33,333 ",109%,"  1,590 ", $ 51 ,,,,"$38,606.20 ",$189.00,
23,15,2/2/2026,28 CS07 Prokofiev's Fifth Symphony,,,2/8/2026,Classical,85%,38%,  606 ," $ 38,109 "," $ 46,668 "," $ (8,559)",Too early, Too early , Too early , Too early ,  44 ,"  1,028 ",  874 , Too early ,#VALUE!,Too early," $ 1,922 "," $ 13,334 ",14%,Too early,  562 ," $ 36,187 "," $ 33,334 ",109%,"  1,590 ", $ 44 ,,,,"$38,063.10 ",$46.00,
24,16,2/9/2026,26 Chris Thile,,,2/12/2026,Specials,85%,21%,  340 ," $ 30,162 "," $ 128,900 "," $ (98,738)",Too early, Too early , Too early , Too early ,  340 ,"  1,590 ","  1,352 ", Too early ,#VALUE!,Too early," $ 30,162 "," $ 128,900 ",23%,Too early,,,,,"  1,590 ", $ 89 ,,,,"$27,005.00 ","$3,157.00",
24,16,2/9/2026,26 PS3 She's Got Soul,,,2/13/2026,Pops,85%,50%,  789 ," $ 56,081 "," $ 94,666 "," $ (38,585)",Too early, Too early , Too early , Too early ,  66 ,  867 ,  737 , Too early ,#VALUE!,Too early," $ 4,067 "," $ 53,333 ",8%,Too early,  723 ," $ 52,014 "," $ 41,333 ",126%,"  1,590 ", $ 62 ,,,,"$55,909.10 ",$172.00,
24,16,2/9/2026,26 PS3 She's Got Soul,,,2/14/2026,Pops,85%,45%,  709 ," $ 50,063 "," $ 94,667 "," $ (44,604)",Too early, Too early , Too early , Too early ,  46 ,  927 ,  788 , Too early ,#VALUE!,Too early," $ 2,151 "," $ 53,333 ",4%,Too early,  663 ," $ 47,912 "," $ 41,334 ",116%,"  1,590 ", $ 47 ,,,,"$50,570.80 ",-$508.00,
24,16,2/9/2026,26 PS3 She's Got Soul,,,2/15/2026,Pops,85%,28%,  448 ," $ 30,213 "," $ 94,667 "," $ (64,454)",Too early, Too early , Too early , Too early ,  63 ,"  1,205 ","  1,024 ", Too early ,#VALUE!,Too early," $ 3,982 "," $ 53,334 ",7%,Too early,  385 ," $ 26,231 "," $ 41,333 ",63%,"  1,590 ", $ 63 ,,,,"$29,655.30 ",$558.00,
25,17,2/16/2026,26 Harry Potter 2: Chamber,,,2/19/2026,Specials/Film,85%,10%,  134 ," $ 9,552 "," $ 111,250 "," $ (101,699)",Too early, Too early , Too early , Too early ,  134 ,"  1,302 ","  1,107 ", Too early ,#VALUE!,Too early," $ 9,552 "," $ 111,250 ",9%,Too early,,,,,"  1,302 ", $ 71 ,,,,"$9,361.50 ",$190.00,
25,17,2/16/2026,26 Harry Potter 2: Chamber,,,2/20/2026,Specials/Film,85%,19%,  245 ," $ 17,743 "," $ 111,250 "," $ (93,507)",Too early, Too early , Too early , Too early ,  245 ,"  1,302 ","  1,107 ", Too early ,#VALUE!,Too early," $ 17,743 "," $ 111,250 ",16%,Too early,,,,,"  1,302 ", $ 72 ,,,,"$17,663.00 ",$80.00,
25,17,2/16/2026,26 Harry Potter 2: Chamber,,,2/21/2026,Specials/Film,85%,34%,  444 ," $ 33,393 "," $ 111,250 "," $ (77,857)",Too early, Too early , Too early , Too early ,  444 ,"  1,302 ","  1,107 ", Too early ,#VALUE!,Too early," $ 33,393 "," $ 111,250 ",30%,Too early,,,,,"  1,302 ", $ 75 ,,,,"$31,515.00 ","$1,878.00",
25,17,2/16/2026,26 Harry Potter 2: Chamber,,,2/22/2026,Specials/Film,85%,39%,  505 ," $ 34,033 "," $ 111,250 "," $ (77,218)",Too early, Too early , Too early , Too early ,  505 ,"  1,302 ","  1,107 ", Too early ,#VALUE!,Too early," $ 34,033 "," $ 111,250 ",31%,Too early,,,,,"  1,302 ", $ 67 ,,,,"$33,792.50 ",$240.00,
26,18,2/23/2026,26 FS3 Philharmonia Fantastique,,,3/1/2026,Family,50%,27%,  357 ," $ 8,297 "," $ 19,500 "," $ (11,203)",Too early, Too early , Too early , Too early ,  50 ,  995 ,  498 , Too early ,#VALUE!,Too early," $ 1,461 "," $ 10,000 ",15%,Too early,  307 ," $ 6,836 "," $ 9,500 ",72%,"  1,302 ", $ 29 ,,,,"$8,100.00 ",$197.00,
27,19,3/2/2026,OPEN,,,,,,#DIV/0!,  -   , $ -   , $ -   ,,, Too early , Too early , Too early ,,  -   ,  -   , Too early ,#VALUE!,,,,,,,,,N/A,,#DIV/0!,,,,0,,
28,20,3/9/2026,26 CS08 Saint-Saëns & Strauss,,,3/13/2026,Classical,85%,39%,  626 ," $ 41,199 "," $ 54,999 "," $ (13,800)",Too early, Too early , Too early , Too early ,  53 ,"  1,017 ",  864 , Too early ,#VALUE!,Too early," $ 2,862 "," $ 18,333 ",16%,Too early,  573 ," $ 38,337 "," $ 36,666 ",105%,"  1,590 ", $ 54 ,,,,"$40,846.00 ",$353.00,
28,20,3/9/2026,26 CS08 Saint-Saëns & Strauss,,,3/14/2026,Classical,85%,39%,  623 ," $ 39,776 "," $ 55,000 "," $ (15,224)",Too early, Too early , Too early , Too early ,  61 ,"  1,028 ",  874 , Too early ,#VALUE!,Too early," $ 3,360 "," $ 18,333 ",18%,Too early,  562 ," $ 36,416 "," $ 36,667 ",99%,"  1,590 ", $ 55 ,,,,"$39,753.20 ",$23.00,
28,20,3/9/2026,26 CS08 Saint-Saëns & Strauss,,,3/15/2026,Classical,85%,41%,  649 ," $ 41,376 "," $ 55,001 "," $ (13,625)",Too early, Too early , Too early , Too early ,  76 ,"  1,017 ",  864 , Too early ,#VALUE!,Too early," $ 4,624 "," $ 18,334 ",25%,Too early,  573 ," $ 36,752 "," $ 36,667 ",100%,"  1,590 ", $ 61 ,,,,"$41,030.10 ",$346.00,
29,21,3/16/2026,OPEN,,,,,,#DIV/0!,  -   , $ -   , $ -   ,,, Too early , Too early , Too early ,,  -   ,  -   , Too early ,#VALUE!,,,,,,,,,N/A,,#DIV/0!,,,,0,,
30,22,3/23/2026,Final Symphony,,,3/25/2026,Specials,85%,5%,  86 ," $ 5,437 "," $ 84,109 "," $ (78,672)",Too early, Too early , Too early , Too early ,  86 ,"  1,590 ","  1,352 ", Too early ,#VALUE!,Too early," $ 5,437 "," $ 84,109 ",6%,Too early,,,,,"  1,590 ", $ 63 ,,,,"$5,437.00 ",$0.00,
30,22,3/23/2026,Final Symphony,,,3/26/2026,Specials,85%,5%,  87 ," $ 5,028 "," $ 84,109 "," $ (79,082)",Too early, Too early , Too early , Too early ,  87 ,"  1,590 ","  1,352 ", Too early ,#VALUE!,Too early," $ 5,028 "," $ 84,109 ",6%,Too early,,,,,"  1,590 ", $ 58 ,,,,"$5,027.50 ",$0.00,
30,22,3/23/2026,26 PS4 Billy Joel & Elton John,,,3/27/2026,Pops,85%,57%,  903 ," $ 64,363 "," $ 94,666 "," $ (30,303)",Too early, Too early , Too early , Too early ,  164 ,  851 ,  723 , Too early ,#VALUE!,Too early," $ 11,069 "," $ 53,333 ",21%,Too early,  739 ," $ 53,294 "," $ 41,333 ",129%,"  1,590 ", $ 67 ,,,,"$64,129.10 ",$234.00,
30,22,3/23/2026,26 PS4 Billy Joel & Elton John,,,3/28/2026,Pops,85%,54%,  855 ," $ 61,453 "," $ 94,667 "," $ (33,214)",Too early, Too early , Too early , Too early ,  185 ,  920 ,  782 , Too early ,#VALUE!,Too early," $ 13,007 "," $ 53,333 ",24%,Too early,  670 ," $ 48,446 "," $ 41,334 ",117%,"  1,590 ", $ 70 ,,,,"$60,900.80 ",$552.00,
30,22,3/23/2026,26 PS4 Billy Joel & Elton John,,,3/29/2026,Pops,85%,39%,  619 ," $ 43,142 "," $ 94,667 "," $ (51,525)",Too early, Too early , Too early , Too early ,  230 ,"  1,201 ","  1,021 ", Too early ,#VALUE!,Too early," $ 16,690 "," $ 53,334 ",31%,Too early,  389 ," $ 26,452 "," $ 41,333 ",64%,"  1,590 ", $ 73 ,,,,"$41,992.60 ","$1,149.00",
31,23,3/30/2026,OPEN,,,,,,#DIV/0!,  -   , $ -   , $ -   ,,, Too early , Too early , Too early ,,  -   ,  -   , Too early ,#VALUE!,,,,,,,,,N/A,,#DIV/0!,,,,0,,
32,24,4/6/2026,26 CS09 Midsummer Night's Dream,,,4/10/2026,Classical,50%,29%,  420 ," $ 28,125 "," $ 52,000 "," $ (23,875)",Too early, Too early , Too early , Too early ,  52 ,"  1,065 ",  533 , Too early ,#VALUE!,Too early," $ 2,411 "," $ 22,000 ",11%,Too early,  368 ," $ 25,714 "," $ 30,000 ",86%,"  1,433 ", $ 46 ,,,,"$27,729.00 ",$396.00,
32,24,4/6/2026,26 CS09 Midsummer Night's Dream,,,4/11/2026,Classical,85%,46%,  662 ," $ 41,374 "," $ 74,000 "," $ (32,626)",Too early, Too early , Too early , Too early ,  97 ,  868 ,  738 , Too early ,#VALUE!,Too early," $ 5,001 "," $ 24,000 ",21%,Too early,  565 ," $ 36,373 "," $ 50,000 ",73%,"  1,433 ", $ 52 ,,,,"$41,302.00 ",$72.00,
32,24,4/6/2026,26 CS09 Midsummer Night's Dream,,,4/12/2026,Classical,85%,45%,  642 ," $ 39,965 "," $ 74,000 "," $ (34,035)",Too early, Too early , Too early , Too early ,  70 ,  861 ,  732 , Too early ,#VALUE!,Too early," $ 3,060 "," $ 24,000 ",13%,Too early,  572 ," $ 36,905 "," $ 50,000 ",74%,"  1,433 ", $ 44 ,,,,"$39,738.10 ",$227.00,
33,25,4/13/2026,26 CS10 Farrenc/Dvorák/Schuman,,,4/17/2026,Classical,85%,38%,  609 ," $ 39,973 "," $ 46,666 "," $ (6,693)",Too early, Too early , Too early , Too early ,  31 ,"  1,012 ",  860 , Too early ,#VALUE!,Too early," $ 1,099 "," $ 13,333 ",8%,Too early,  578 ," $ 38,874 "," $ 33,333 ",117%,"  1,590 ", $ 35 ,,,,"$39,793.00 ",$180.00,
33,25,4/13/2026,26 CS10 Farrenc/Dvorák/Schuman,,,4/18/2026,Classical,85%,39%,  624 ," $ 41,661 "," $ 46,666 "," $ (5,005)",Too early, Too early , Too early , Too early ,  32 ,  998 ,  848 , Too early ,#VALUE!,Too early," $ 1,399 "," $ 13,333 ",10%,Too early,  592 ," $ 40,262 "," $ 33,333 ",121%,"  1,590 ", $ 44 ,,,,"$41,723.90 ",-$63.00,
33,25,4/13/2026,26 CS10 Farrenc/Dvorák/Schuman,,,4/19/2026,Classical,85%,41%,  659 ," $ 41,694 "," $ 46,668 "," $ (4,974)",Too early, Too early , Too early , Too early ,  40 ,  971 ,  825 , Too early ,#VALUE!,Too early," $ 1,731 "," $ 13,334 ",13%,Too early,  619 ," $ 39,963 "," $ 33,334 ",120%,"  1,590 ", $ 43 ,,,,"$41,460.20 ",$234.00,
34,26,4/20/2026,OPEN,,,,,,#DIV/0!,  -   , $ -   , $ -   ,,, Too early , Too early , Too early ,,  -   ,  -   , Too early ,#VALUE!,,,,,,,,,N/A,,#DIV/0!,,,,0,,
35,27,4/27/2026,OPEN,,,,,,#DIV/0!,  -   , $ -   , $ -   ,,, Too early , Too early , Too early ,,  -   ,  -   , Too early ,#VALUE!,,,,,,,,,N/A,,#DIV/0!,,,,0,,
36,28,5/4/2026,26 CS11 Grieg's Piano Concerto,,,5/8/2026,Classical,50%,27%,  424 ," $ 28,112 "," $ 45,000 "," $ (16,888)",Too early, Too early , Too early , Too early ,  50 ,"  1,216 ",  608 , Too early ,#VALUE!,Too early," $ 2,349 "," $ 20,000 ",12%,Too early,  374 ," $ 25,763 "," $ 25,000 ",103%,"  1,590 ", $ 47 ,,,,"$27,937.00 ",$175.00,
36,28,5/4/2026,26 CS11 Grieg's Piano Concerto,,,5/9/2026,Classical,85%,43%,  689 ," $ 45,720 "," $ 65,000 "," $ (19,280)",Too early, Too early , Too early , Too early ,  89 ,  990 ,  842 , Too early ,#VALUE!,Too early," $ 5,356 "," $ 17,500 ",31%,Too early,  600 ," $ 40,364 "," $ 47,500 ",85%,"  1,590 ", $ 60 ,,,,"$45,768.90 ",-$49.00,
36,28,5/4/2026,26 CS11 Grieg's Piano Concerto,,,5/10/2026,Classical,85%,43%,  680 ," $ 43,281 "," $ 65,000 "," $ (21,719)",Too early, Too early , Too early , Too early ,  69 ,  979 ,  832 , Too early ,#VALUE!,Too early," $ 3,734 "," $ 17,500 ",21%,Too early,  611 ," $ 39,547 "," $ 47,500 ",83%,"  1,590 ", $ 54 ,,,,"$42,812.20 ",$469.00,
37,29,5/11/2026,26 PS5 Dolly Parton's Threads,,,5/15/2026,Pops,85%,62%,  809 ," $ 67,940 "," $ 103,333 "," $ (35,393)",Too early, Too early , Too early , Too early ,  71 ,  564 ,  479 , Too early ,#VALUE!,Too early," $ 5,507 "," $ 60,000 ",9%,Too early,  738 ," $ 62,433 "," $ 43,333 ",144%,"  1,302 ", $ 78 ,,,,"$67,716.00 ",$224.00,
37,29,5/11/2026,26 PS5 Dolly Parton's Threads,,,5/16/2026,Pops,85%,57%,  738 ," $ 61,787 "," $ 103,334 "," $ (41,547)",Too early, Too early , Too early , Too early ,  68 ,  632 ,  537 , Too early ,#VALUE!,Too early," $ 4,810 "," $ 60,000 ",8%,Too early,  670 ," $ 56,977 "," $ 43,334 ",131%,"  1,302 ", $ 71 ,,,,"$62,277.00 ",-$490.00,
37,29,5/11/2026,26 PS5 Dolly Parton's Threads,,,5/17/2026,Pops,85%,39%,  510 ," $ 40,500 "," $ 103,333 "," $ (62,833)",Too early, Too early , Too early , Too early ,  117 ,  909 ,  773 , Too early ,#VALUE!,Too early," $ 9,238 "," $ 60,000 ",15%,Too early,  393 ," $ 31,262 "," $ 43,333 ",72%,"  1,302 ", $ 79 ,,,,"$39,876.00 ",$624.00,
38,30,5/18/2026,OPEN,,,,,,#DIV/0!,  -   , $ -   , $ -   ,,, Too early , Too early , Too early ,,  -   ,  -   , Too early ,#VALUE!,,,,,,,,,N/A,,#DIV/0!,,,,0,,
38,45,5/18/2026,Ben Rector,,,5/21/2026,Specials,85%,7%,  115 ," $ 9,816 "," $ 112,468 "," $ (102,652)",Too early, Too early , Too early , Too early ,  115 ,"  1,590 ","  1,352 ", Too early ,#VALUE!,Too early," $ 9,816 "," $ 112,468 ",9%,Too early,,,,,"  1,590 ", $ 85 ,,,,"$8,896.00 ",$920.00,
38,45,5/18/2026,Ben Rector,,,5/22/2026,Specials,85%,13%,  202 ," $ 18,452 "," $ 112,468 "," $ (94,016)",Too early, Too early , Too early , Too early ,  202 ,"  1,590 ","  1,352 ", Too early ,#VALUE!,Too early," $ 18,452 "," $ 112,468 ",16%,Too early,,,,,"  1,590 ", $ 91 ,,,,"$17,072.00 ","$1,380.00",
39,31,5/25/2026,26 On-Stage 3 Gil Shaham,,,5/28/2026,On Stage,85%,17%,  17 ," $ 1,680 "," $ 9,000 "," $ (7,320)",Too early, Too early , Too early , Too early ,  17 ,  100 ,  85 , Too early ,#VALUE!,Too early," $ 1,680 "," $ 9,000 ",19%,Too early,,,,,  100 , $ 99 ,,,,"$1,680.00 ",$0.00,
39,31,5/25/2026,26 CS12 Gil Shaham Plays Brahm's 4th,,,5/29/2026,Classical,85%,39%,  614 ," $ 39,454 "," $ 51,666 "," $ (12,212)",Too early, Too early , Too early , Too early ,  49 ,"  1,025 ",  871 , Too early ,#VALUE!,Too early," $ 1,728 "," $ 20,000 ",9%,Too early,  565 ," $ 37,726 "," $ 31,666 ",119%,"  1,590 ", $ 35 ,,,,"$39,074.00 ",$380.00,
39,31,5/25/2026,27 CS12 Gil Shaham Plays Brahm's 4th,,,5/30/2026,Classical,85%,39%,  623 ," $ 39,181 "," $ 51,667 "," $ (12,486)",Too early, Too early , Too early , Too early ,  49 ,"  1,016 ",  864 , Too early ,#VALUE!,Too early," $ 1,935 "," $ 20,000 ",10%,Too early,  574 ," $ 37,246 "," $ 31,667 ",118%,"  1,590 ", $ 39 ,,,,"$38,938.00 ",$243.00,
39,31,5/25/2026,28 CS12 Gil Shaham Plays Brahm's 4th,,,5/31/2026,Classical,85%,40%,  638 ," $ 39,994 "," $ 51,667 "," $ (11,674)",Too early, Too early , Too early , Too early ,  64 ,"  1,016 ",  864 , Too early ,#VALUE!,Too early," $ 2,881 "," $ 20,000 ",14%,Too early,  574 ," $ 37,113 "," $ 31,667 ",117%,"  1,590 ", $ 45 ,,,,"$39,947.50 ",$46.00,
40,32,6/1/2026,26 On-Stage 4 Yefim Bronfman,,,6/4/2026,On Stage,85%,20%,  20 ," $ 2,100 "," $ 9,000 "," $ (6,900)",Too early, Too early , Too early , Too early ,  20 ,  100 ,  85 , Too early ,#VALUE!,Too early," $ 2,100 "," $ 9,000 ",23%,Too early,,,,,  100 , $ 105 ,,,,"$2,100.00 ",$0.00,
40,32,6/1/2026,26 CS13 Rachmaninoff Cele Pt 2,,,6/5/2026,Classical,85%,40%,  630 ," $ 41,444 "," $ 66,666 "," $ (25,222)",Too early, Too early , Too early , Too early ,  51 ,"  1,011 ",  859 , Too early ,#VALUE!,Too early," $ 2,689 "," $ 30,000 ",9%,Too early,  579 ," $ 38,755 "," $ 36,666 ",106%,"  1,590 ", $ 53 ,,,,"$41,049.00 ",$395.00,
40,32,6/1/2026,26 CS13 Rachmaninoff Cele Pt 2,,,6/6/2026,Classical,85%,43%,  682 ," $ 45,416 "," $ 66,667 "," $ (21,251)",Too early, Too early , Too early , Too early ,  83 ,  991 ,  842 , Too early ,#VALUE!,Too early," $ 4,955 "," $ 30,000 ",17%,Too early,  599 ," $ 40,461 "," $ 36,667 ",110%,"  1,590 ", $ 60 ,,,,"$45,694.90 ",-$279.00,
40,32,6/1/2026,26 CS13 Rachmaninoff Cele Pt 2,,,6/7/2026,Classical,85%,45%,  722 ," $ 46,160 "," $ 66,667 "," $ (20,507)",Too early, Too early , Too early , Too early ,  91 ,  959 ,  815 , Too early ,#VALUE!,Too early," $ 5,466 "," $ 30,000 ",18%,Too early,  631 ," $ 40,694 "," $ 36,667 ",111%,"  1,590 ", $ 60 ,,,,"$46,004.60 ",$155.00,
41,33,6/8/2026,OPEN,,,,,,#DIV/0!,  -   , $ -   , $ -   ,,, Too early , Too early , Too early ,,  -   ,  -   , Too early ,#VALUE!,,,,,,,,,N/A,,#DIV/0!,,,,0,,
42,34,6/15/2026,26 CS14 Rhapsody in Blue,,,6/19/2026,Classical,85%,31%,  491 ," $ 32,669 "," $ 60,000 "," $ (27,331)",Too early, Too early , Too early , Too early ,  111 ,"  1,210 ","  1,029 ", Too early ,#VALUE!,Too early," $ 6,390 "," $ 30,000 ",21%,Too early,  380 ," $ 26,279 "," $ 30,000 ",88%,"  1,590 ", $ 58 ,,,,"$31,448.00 ","$1,221.00",
42,34,6/15/2026,26 CS14 Rhapsody in Blue,,,6/20/2026,Classical,85%,51%,  809 ," $ 51,247 "," $ 70,000 "," $ (18,753)",Too early, Too early , Too early , Too early ,  220 ,"  1,001 ",  851 , Too early ,#VALUE!,Too early," $ 13,052 "," $ 27,500 ",47%,Too early,  589 ," $ 38,195 "," $ 42,500 ",90%,"  1,590 ", $ 59 ,,,,"$49,815.00 ","$1,432.00",
42,34,6/15/2026,26 CS14 Rhapsody in Blue,,,6/21/2026,Classical,85%,48%,  756 ," $ 47,850 "," $ 70,000 "," $ (22,150)",Too early, Too early , Too early , Too early ,  187 ,"  1,021 ",  868 , Too early ,#VALUE!,Too early," $ 11,098 "," $ 27,500 ",40%,Too early,  569 ," $ 36,752 "," $ 42,500 ",86%,"  1,590 ", $ 59 ,,,,"$47,300.00 ",$550.00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$488,877.30",
,,,CLASSICAL,,,,,  -   ,  -   ,,, $ -   ,," $ 2,139,000 ",,,,,,#REF!,,, $ -   ," $ 704,000 ",,,  -   , $ -   ," $ 1,435,000 ",,  -   ,#DIV/0!,#DIV/0!,,,,,,
,,,PIAZZA,,,,,  -   ,  -   ,,, $ -   ,," $ 363,000 ",,,,,,#REF!,,, $ -   ," $ 163,000 ",,,  -   , $ -   ," $ 200,000 ",,  -   ,#DIV/0!,#DIV/0!,,,,,,
,,,POPS,,,,,  -   ,  -   ,,, $ -   ,," $ 1,457,000 ",,,,,,#REF!,,, $ -   ," $ 838,000 ",,,  -   , $ -   ," $ 619,000 ",,  -   ,#DIV/0!,#DIV/0!,,,,,,
,,,FAMILY,,,,,  -   ,  -   ,,, $ -   ,," $ 525,950 ",,,,,,#REF!,,, $ -   ," $ 485,000 ",,,  -   , $ -   ," $ 40,950 ",,  -   ,#DIV/0!,#DIV/0!,,,,,,
,,,FILM,,,,,  -   ,  -   ,,, $ -   ,," $ 1,745,490 ",,,,,,#REF!,,, $ -   ," $ 1,745,490 ",,,  -   , $ -   , $ -   ,,  -   ,#DIV/0!,#DIV/0!,,,,,,
,,,ON STAGE,,,,,  -   ,  -   ,,, $ -   ,," $ 38,200 ",,,,,,#REF!,,, $ -   ," $ 38,200 ",,,  -   , $ -   , $ -   ,,  -   ,#DIV/0!,#DIV/0!,,,,,,
,,,OTHER,,,,,  -   ,  -   ,,, $ -   ,,,,,,,,#REF!,,, $ -   ,,,,  -   , $ -   , $ -   ,,  -   ,#DIV/0!,#DIV/0!,,,,,,
,,,ALL CONCERTS,,,,,  -   ,  -   ,,,  -   ,,"  6,268,640 ",,,,,,#REF!,,, $ -   ," $ 3,973,690 ",,,  -   , $ -   ," $ 2,169,893 ",,0,#DIV/0!,#DIV/0!,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Future Improvements:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Set GYR Occ goals by performance type ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Build projections for summaries by performance type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Reconcile Subscription actuals (Chuck data) with Tessitura reporting at performance level ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Evalute Week 0 logic for projections - do we need to lag by a week?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,